element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
469,10,13,1,False,2019-08-11T13:00:00Z,0,1,1,26,0,0,0,0,0,0,0,0,0,0,0,3,3.0,2.9,0.0,0.6,55,0,208921,0,0
469,11,5,11,True,2019-08-17T11:30:00Z,2,1,2,82,0,2,0,1,0,0,0,0,0,0,3,38,47.8,48.3,20.0,11.6,55,-10263,224045,21980,32243
469,24,10,2,False,2019-08-24T16:30:00Z,3,1,3,60,0,0,0,3,0,0,0,0,0,0,0,3,7.0,1.4,0.0,0.8,56,463610,761907,525336,61726
469,31,17,1,True,2019-09-01T15:30:00Z,2,2,4,27,0,0,0,0,0,0,0,0,0,0,0,6,13.6,22.7,17.0,5.3,57,100508,875613,195662,95154
469,49,18,1,False,2019-09-15T15:30:00Z,2,2,5,59,0,0,0,1,0,0,0,0,0,0,0,8,2.4,7.8,2.0,1.2,57,27597,919202,139188,111591
469,51,2,2,True,2019-09-22T15:30:00Z,3,2,6,71,0,0,0,2,0,0,0,0,0,0,0,10,10.4,15.8,4.0,3.0,57,-49746,875308,58062,107808
469,67,12,1,False,2019-09-30T19:00:00Z,1,1,7,35,0,0,0,0,0,0,0,0,0,0,0,5,3.6,2.2,10.0,1.6,56,-143494,731371,16314,159808
469,71,3,3,True,2019-10-06T13:00:00Z,1,0,8,74,0,0,1,0,0,0,0,0,0,0,0,17,10.2,41.3,2.0,5.4,56,-98247,637763,12871,111118
469,88,15,1,False,2019-10-21T19:00:00Z,1,0,9,45,0,0,0,0,0,0,0,0,0,0,0,9,9.6,5.0,19.0,3.4,55,-60828,581915,11769,72597
469,91,7,2,True,2019-10-27T16:30:00Z,2,2,10,90,0,0,0,2,0,0,0,0,0,0,0,13,16.8,17.4,2.0,3.6,55,-48549,535760,5701,54250
469,101,20,2,True,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,18,25.6,18.2,20.0,6.4,54,-66073,470309,5789,71862
469,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-65420,404098,2098,67518
469,121,16,0,True,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-82777,322486,159,82936
469,137,14,0,False,2019-12-01T14:00:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-31340,293402,46,31386
469,141,4,0,True,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-15929,278334,21,15950
469,160,19,0,False,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-13286,265187,25,13311
469,161,11,0,True,2019-12-15T16:30:00Z,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-13448,251613,65,13513
469,174,8,0,False,2019-12-21T12:30:00Z,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-8246,243295,48,8294
469,182,3,0,False,2019-12-26T15:00:00Z,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-4052,239941,107,4159
469,191,6,0,True,2019-12-29T14:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2852,237168,127,2979
469,201,12,0,True,2020-01-01T20:00:00Z,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-3816,233405,206,4022
469,214,7,0,False,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-3230,230280,453,3683
469,221,15,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2551,227827,398,2949
469,238,6,0,False,2020-01-21T20:15:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1696,226214,201,1897
469,242,5,0,False,2020-02-02T14:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-2413,223924,338,2751
469,251,13,0,True,2020-02-16T16:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1290,222784,216,1506
