element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
414,5,9,2,False,2019-08-11T13:00:00Z,0,0,1,80,0,0,1,0,0,0,0,1,0,0,0,10,14.0,10.8,0.0,2.5,55,0,479901,0,0
414,20,12,7,True,2019-08-19T19:00:00Z,1,1,2,90,1,0,0,1,0,0,0,1,0,0,1,22,43.2,1.4,7.0,5.2,55,-20722,500641,22561,43283
414,30,5,2,True,2019-08-25T15:30:00Z,1,1,3,90,0,0,0,1,0,0,0,0,0,0,0,11,12.4,26.3,32.0,7.1,55,38306,563921,74887,36581
414,35,8,2,False,2019-09-01T13:00:00Z,3,2,4,83,0,0,0,3,0,0,0,0,0,0,0,12,14.2,5.5,8.0,2.8,55,11849,591020,58304,46455
414,50,6,2,True,2019-09-14T14:00:00Z,2,5,5,90,0,0,0,5,0,0,0,0,0,0,0,12,11.4,2.3,9.0,2.3,55,-16978,583181,37128,54106
414,54,7,1,False,2019-09-22T13:00:00Z,1,1,6,33,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.9,1.0,0.2,55,-30378,556870,18235,48613
414,70,18,1,True,2019-09-28T14:00:00Z,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,3,1.4,0.4,0.0,0.2,55,-48795,510352,11225,60020
414,75,11,2,False,2019-10-06T13:00:00Z,0,2,8,90,0,0,1,0,0,0,0,1,0,0,0,6,13.4,0.7,0.0,1.4,54,-59260,452169,3654,62914
414,90,16,1,True,2019-10-19T14:00:00Z,1,1,9,45,0,0,0,0,0,0,0,0,0,0,0,4,0.8,0.7,0.0,0.2,54,-21480,434691,6820,28300
414,96,13,1,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,1,0,0,0,12,12.0,5.0,3.0,2.0,54,-29649,405507,2006,31655
414,101,1,2,False,2019-11-02T15:00:00Z,1,1,11,90,0,0,0,1,0,0,0,0,0,0,0,10,6.4,13.1,17.0,3.7,53,-25028,381435,3481,28509
414,120,2,11,True,2019-11-10T14:00:00Z,2,1,12,85,1,0,1,0,0,0,0,0,0,0,3,33,54.6,32.5,15.0,10.2,53,-8884,373752,5282,14166
414,123,3,2,False,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,1,0,0,0,0,0,0,0,13,8.6,12.5,19.0,4.0,53,21304,399546,32018,10714
414,140,15,2,True,2019-12-01T14:00:00Z,1,1,14,90,0,0,0,1,0,0,0,0,0,0,0,13,11.4,6.8,16.0,3.4,53,-4174,394401,8576,12750
414,146,19,3,True,2019-12-04T19:30:00Z,2,0,15,90,0,0,1,0,0,0,0,0,0,0,0,13,6.0,3.5,0.0,1.0,53,-5264,389774,4887,10151
414,153,4,2,False,2019-12-08T16:30:00Z,2,2,16,90,0,0,0,2,0,0,0,0,0,0,0,12,11.4,26.7,1.0,3.9,53,-7497,382767,5372,12869
414,170,17,2,True,2019-12-15T14:00:00Z,1,2,17,90,0,0,0,2,0,0,0,0,0,0,0,12,14.2,25.6,16.0,5.6,53,-10505,372922,5508,16013
414,177,14,2,False,2019-12-21T15:00:00Z,1,2,18,90,0,0,0,1,0,0,0,0,0,0,0,15,10.2,14.7,1.0,2.6,53,-5520,367327,4747,10267
414,190,11,5,True,2019-12-27T19:45:00Z,3,2,19,90,0,1,0,2,0,0,0,0,0,0,0,27,39.0,46.3,15.0,10.0,53,-8351,360366,2460,10811
414,194,10,1,False,2019-12-29T16:30:00Z,1,0,20,57,0,0,0,1,0,0,0,0,0,0,0,8,7.0,0.8,8.0,1.6,53,-4146,356827,2817,6963
414,209,18,1,False,2020-01-01T15:00:00Z,2,1,21,36,0,0,0,0,0,0,0,0,0,0,0,9,5.6,3.1,17.0,2.6,53,-3555,354166,7427,10982
414,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,9,5.6,3.8,3.0,1.2,53,-7613,347419,5844,13457
414,228,16,1,False,2020-01-18T15:00:00Z,2,3,23,90,0,0,0,2,0,0,0,1,0,0,0,11,6.8,0.6,0.0,0.7,52,-6188,341911,4790,10978
414,237,10,2,True,2020-01-23T20:00:00Z,1,2,24,90,0,0,0,2,0,0,0,0,0,0,0,20,19.4,16.7,0.0,3.6,52,-7124,334751,2259,9383
414,246,12,2,False,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,1,0,0,0,16,18.8,5.3,1.0,2.5,52,-5466,330343,3280,8746
414,260,9,0,True,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-1844,329130,3231,5075
