element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
138,4,8,3,True,2019-08-10T14:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,15,22.2,11.6,0.0,3.4,55,0,110758,0,0
138,18,15,2,False,2019-08-18T13:00:00Z,1,0,2,81,0,0,0,1,0,0,0,0,0,0,0,11,9.6,3.1,0.0,1.3,55,-5482,109551,5474,10956
138,25,12,2,False,2019-08-24T14:00:00Z,1,2,3,90,0,0,0,1,0,0,0,0,0,0,0,7,10.0,0.8,4.0,1.5,55,-17821,91983,919,18740
138,34,2,3,True,2019-08-31T14:00:00Z,1,0,4,90,0,0,1,0,0,0,0,0,0,0,0,9,12.0,22.1,22.0,5.6,54,-10789,82352,2051,12840
138,48,17,0,False,2019-09-14T14:00:00Z,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-10658,72186,1920,12578
138,54,20,2,True,2019-09-22T13:00:00Z,1,1,6,82,0,0,1,0,0,0,0,1,0,0,0,10,15.0,23.1,4.0,4.2,54,-12203,60198,141,12344
138,64,14,6,True,2019-09-28T14:00:00Z,2,0,7,78,0,1,1,0,0,0,0,0,0,0,0,19,8.8,24.9,42.0,7.6,53,-4294,56347,784,5078
138,80,19,2,False,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,1,0,0,0,0,0,0,0,15,11.0,2.1,1.0,1.4,53,-730,55943,1757,2487
138,84,11,2,True,2019-10-19T16:30:00Z,0,2,9,90,0,0,0,2,0,0,0,0,0,0,0,15,21.0,22.5,4.0,4.8,53,-2530,53496,698,3228
138,91,1,7,False,2019-10-27T16:30:00Z,2,2,10,90,0,1,0,2,0,0,0,0,0,0,2,29,38.4,25.8,19.0,8.3,53,-1346,52352,590,1936
138,105,9,2,True,2019-11-03T14:00:00Z,0,2,11,77,0,0,0,1,0,0,0,0,0,0,0,6,1.4,3.5,5.0,1.0,53,665,53377,3056,2391
138,112,6,2,False,2019-11-09T12:30:00Z,2,0,12,69,0,0,0,1,0,0,0,0,0,0,0,13,13.4,0.8,2.0,1.6,53,-3154,50038,607,3761
138,125,10,2,True,2019-11-23T15:00:00Z,1,2,13,90,0,0,0,2,0,0,0,0,0,0,0,10,21.0,20.9,4.0,4.6,52,-965,49427,1488,2453
138,131,5,3,False,2019-11-30T15:00:00Z,0,2,14,90,0,0,1,0,0,0,0,0,0,0,0,10,17.4,7.2,22.0,4.7,52,-702,48852,1114,1816
138,148,3,5,True,2019-12-03T19:30:00Z,1,0,15,90,0,1,1,0,0,0,0,1,0,0,0,16,32.8,33.3,12.0,7.8,52,-266,48705,937,1203
138,159,18,3,False,2019-12-07T15:00:00Z,0,0,16,90,0,0,1,0,0,0,0,0,0,0,0,13,15.6,2.3,24.0,4.2,52,2121,51080,3256,1135
138,164,4,2,True,2019-12-16T19:45:00Z,1,1,17,90,0,0,0,1,0,0,0,0,0,0,0,9,10.6,2.3,3.0,1.6,52,1504,52790,3437,1933
138,176,13,2,False,2019-12-21T15:00:00Z,1,0,18,85,0,0,0,1,0,0,0,0,0,0,0,13,18.0,14.3,73.0,10.5,52,-144,52545,2069,2213
138,184,19,2,True,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,1,0,0,0,0,0,0,0,10,9.4,9.6,12.0,3.1,52,493,53329,2629,2136
138,198,16,1,False,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,1,0,0,0,6,18.2,1.4,2.0,2.2,52,-75,53381,1881,1956
138,207,14,2,False,2020-01-01T17:30:00Z,1,1,21,90,0,0,0,1,0,0,0,0,0,0,0,4,14.4,3.3,36.0,5.4,52,-2124,51331,1369,3493
138,214,1,2,True,2020-01-11T12:30:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,12,17.4,3.1,0.0,2.1,52,-2677,48735,806,3483
138,225,11,1,False,2020-01-18T15:00:00Z,2,2,23,90,0,0,0,2,0,0,0,1,0,0,0,17,34.8,11.5,0.0,4.6,52,-1870,46921,612,2482
138,239,16,2,True,2020-01-21T19:30:00Z,0,2,24,90,0,0,0,2,0,0,0,0,0,0,0,7,13.6,1.3,4.0,1.9,52,-767,46189,874,1641
138,243,15,2,True,2020-02-01T15:00:00Z,0,1,25,85,0,0,0,1,0,0,0,0,0,0,0,15,16.4,27.8,30.0,7.4,52,-893,45437,731,1624
138,255,8,2,False,2020-02-08T12:30:00Z,3,1,26,90,0,0,0,3,0,0,0,0,0,0,0,11,17.2,14.0,12.0,4.3,52,-592,44951,644,1236
138,264,13,2,True,2020-02-22T15:00:00Z,1,0,27,90,0,0,1,0,0,0,0,1,0,0,0,9,17.6,12.5,2.0,3.2,52,-324,44687,897,1221
