element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
68,2,15,2,True,2019-08-10T14:00:00Z,1,1,1,90,0,0,0,1,0,0,0,0,0,0,0,6,6.0,12.4,22.0,4.0,65,0,1189451,0,0
68,12,2,6,False,2019-08-17T14:00:00Z,1,2,2,90,1,0,0,1,0,0,0,0,0,0,0,22,39.6,3.5,28.0,7.1,65,-90365,1140443,43235,133600
68,22,11,2,True,2019-08-25T13:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,2,14.6,13.2,15.0,4.3,65,-173192,977772,55782,228974
68,36,9,2,False,2019-08-31T14:00:00Z,3,1,4,78,0,0,0,3,0,0,0,0,0,0,0,5,3.6,22.5,2.0,2.8,64,-199206,786591,37304,236510
68,42,8,10,True,2019-09-15T13:00:00Z,3,1,5,90,0,2,0,1,0,0,0,0,0,0,2,31,42.0,42.9,23.0,10.8,63,-136915,657587,35222,172137
68,59,16,2,False,2019-09-20T19:00:00Z,1,3,6,90,0,0,0,1,0,0,0,0,0,0,0,2,4.6,3.2,20.0,2.8,63,-41953,622191,42244,84197
68,62,19,12,True,2019-09-28T14:00:00Z,2,2,7,90,1,1,0,2,0,0,0,0,0,0,3,40,58.2,17.0,37.0,11.2,63,-67447,556981,31880,99327
68,71,1,2,False,2019-10-06T13:00:00Z,1,0,8,90,0,0,0,1,0,0,0,0,0,0,0,7,10.0,13.0,8.0,3.1,63,66925,632532,96994,30069
68,82,14,1,True,2019-10-19T14:00:00Z,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,5,8.4,20.8,2.0,3.1,63,62742,698876,105949,43207
68,99,18,2,False,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,0,0,0,0,11,14.4,25.6,19.0,5.9,63,-10883,687942,37077,47960
68,103,12,7,True,2019-11-02T12:30:00Z,1,0,11,90,1,0,1,0,0,0,0,0,0,0,1,28,40.4,21.1,56.0,11.8,63,-51011,637852,30570,81581
68,116,13,2,False,2019-11-09T15:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,2,6.6,19.9,17.0,4.4,63,31873,673634,59682,27809
68,123,20,0,True,2019-11-23T15:00:00Z,1,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-133810,535625,27596,161406
68,139,17,0,False,2019-11-30T15:00:00Z,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-142377,396460,293,142670
68,148,7,0,False,2019-12-03T19:30:00Z,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-48281,351889,158,48439
68,152,10,0,True,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,62,-35741,316652,112,35853
68,163,6,2,False,2019-12-14T15:00:00Z,0,1,17,74,0,0,1,0,0,0,0,0,0,0,0,3,0.8,10.9,42.0,5.4,61,-25866,290945,289,26155
68,172,5,2,True,2019-12-21T15:00:00Z,0,1,18,90,0,0,0,1,0,0,0,0,0,0,0,3,7.4,4.8,2.0,1.4,61,-6339,284900,3019,9358
68,182,1,2,True,2019-12-26T15:00:00Z,1,1,19,65,0,0,0,1,0,0,0,0,0,0,0,6,4.6,4.6,41.0,5.0,61,224,286412,4641,4417
68,192,4,2,False,2019-12-28T12:30:00Z,2,0,20,72,0,0,0,1,0,0,0,0,0,0,0,3,3.2,12.8,21.0,3.7,61,3223,290114,7214,3991
68,210,19,0,False,2020-01-01T17:30:00Z,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-11847,278109,949,12796
68,212,18,0,True,2020-01-12T14:00:00Z,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-15594,262523,177,15771
68,227,14,0,False,2020-01-18T15:00:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-8869,253815,91,8960
68,232,4,0,True,2020-01-21T19:30:00Z,3,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-3828,250144,49,3877
68,241,2,0,True,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-4359,245842,256,4615
68,258,15,1,False,2020-02-09T14:00:00Z,2,1,26,18,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,-1892,244143,210,2102
68,262,5,2,False,2020-02-22T15:00:00Z,3,0,27,69,0,0,0,2,0,0,0,0,0,0,0,15,11.4,43.4,4.0,5.9,61,1105,245706,2481,1376
