element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
252,10,1,2,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,12,23.4,1.7,5.0,3.0,50,0,99525,0,0
252,17,14,1,False,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,0,0,0,0,18,25.4,0.6,17.0,4.3,50,-4837,104584,3447,8284
252,28,17,8,False,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,2,28,33.2,0.2,4.0,3.7,50,-12075,93953,1131,13206
252,38,18,8,True,2019-08-31T14:00:00Z,1,1,4,84,1,0,0,1,0,0,0,0,0,0,0,16,42.8,1.5,23.0,6.7,50,10138,111348,18171,8033
252,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,79,0,0,0,3,0,0,0,0,0,0,0,10,22.2,0.1,10.0,3.2,50,18972,138661,34671,15699
252,58,4,6,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,0,20,20.6,0.9,5.0,2.7,50,5494,146546,18310,12816
252,66,9,-1,False,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,0,0,0,1,0,0,0,8,20.6,0.3,2.0,2.3,50,29318,184129,39761,10443
252,76,12,5,True,2019-10-06T15:30:00Z,1,0,8,90,0,0,1,0,0,0,0,1,0,0,0,22,24.4,0.2,12.0,3.7,50,-11408,171020,4620,16028
252,83,6,2,False,2019-10-19T14:00:00Z,1,0,9,90,0,0,0,1,0,0,0,0,0,0,0,10,23.8,4.4,0.0,2.8,50,-2574,170288,5663,8237
252,96,20,0,True,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-9884,160806,4257,14141
252,110,19,0,False,2019-11-02T15:00:00Z,2,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-23111,137278,269,23380
252,116,3,0,True,2019-11-09T15:00:00Z,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-13286,124235,170,13456
252,122,2,0,False,2019-11-25T20:00:00Z,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-10972,113893,912,11884
252,136,11,0,True,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3115,111311,596,3711
252,145,15,0,False,2019-12-05T19:30:00Z,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-2633,108909,422,3055
252,156,16,1,True,2019-12-08T14:00:00Z,2,1,16,45,0,0,0,1,0,0,0,0,0,0,0,4,14.2,0.6,0.0,1.5,50,-2508,106680,1251,3759
252,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,15,14.6,0.9,0.0,1.6,50,-2199,104669,1374,3573
252,176,7,5,True,2019-12-21T15:00:00Z,1,0,18,90,0,0,1,0,0,0,0,1,0,0,0,22,14.6,10.3,0.0,2.5,50,668,107129,2842,2174
252,187,12,-1,False,2019-12-26T17:30:00Z,4,1,19,87,0,0,0,4,0,0,0,1,0,0,0,7,10.4,0.3,1.0,1.2,50,-1056,104925,978,2034
252,196,8,7,True,2019-12-28T15:00:00Z,1,2,20,90,1,0,0,2,0,0,0,0,0,0,0,25,60.4,20.8,42.0,12.3,50,-1526,103569,800,2326
252,206,9,1,True,2020-01-01T15:00:00Z,0,3,21,90,0,0,0,3,0,0,0,0,0,0,0,7,15.4,0.2,7.0,2.3,50,-2995,100624,952,3947
252,220,20,0,False,2020-01-11T15:00:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-5422,95155,183,5605
252,226,6,0,True,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-3403,91875,292,3695
252,233,8,4,False,2020-01-21T19:30:00Z,2,2,24,12,0,1,0,0,0,0,0,0,0,0,0,13,1.8,0.5,26.0,2.8,50,-577,91453,907,1484
252,247,14,0,True,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,2977,95265,4997,2020
252,251,1,0,False,2020-02-16T16:30:00Z,4,0,26,7,0,0,0,2,0,0,0,0,0,0,0,4,2.2,0.0,0.0,0.2,50,-2459,92554,422,2881
252,264,7,2,False,2020-02-22T15:00:00Z,1,0,27,90,0,0,0,1,0,0,0,0,0,0,0,17,22.6,0.7,9.0,3.2,50,-1027,91767,836,1863
