element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
55,7,18,3,False,2019-08-10T14:00:00Z,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,15,13.8,1.7,0.0,1.6,50,0,30111,0,0
55,13,19,2,True,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,13,21.8,31.4,21.0,7.4,50,759,33372,4158,3399
55,23,16,2,True,2019-08-24T14:00:00Z,0,2,3,67,0,0,0,1,0,0,0,0,0,0,0,13,20.4,24.4,25.0,7.0,50,-3722,29978,1635,5357
55,37,11,2,False,2019-08-31T14:00:00Z,4,0,4,90,0,0,0,4,0,0,0,0,0,0,0,8,6.2,16.8,22.0,4.5,50,-4707,25533,834,5541
55,43,5,9,True,2019-09-14T14:00:00Z,1,1,5,89,0,1,1,0,0,0,0,0,0,0,3,27,34.8,39.8,23.0,9.8,49,-1332,24904,2249,3581
55,58,13,0,False,2019-09-21T16:30:00Z,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,15732,43623,19458,3726
55,63,6,0,False,2019-09-28T14:00:00Z,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-8522,33519,1485,10007
55,72,17,0,True,2019-10-05T11:30:00Z,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-4784,29095,649,5433
55,81,2,0,False,2019-10-19T14:00:00Z,2,1,9,45,0,0,0,1,0,0,0,1,0,0,0,0,2.8,11.7,25.0,4.0,49,-2327,27040,699,3026
55,92,8,0,True,2019-10-26T14:00:00Z,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1748,25408,252,2000
55,104,14,0,True,2019-11-02T15:00:00Z,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-2212,23259,369,2581
55,115,12,1,False,2019-11-10T14:00:00Z,3,1,12,45,0,0,0,1,0,0,0,0,0,0,0,3,6.0,6.1,0.0,1.2,47,-1432,21844,165,1597
55,124,9,2,True,2019-11-23T15:00:00Z,0,2,13,82,0,0,0,2,0,0,0,0,0,0,0,9,8.6,9.7,4.0,2.2,47,-1105,20897,342,1447
55,134,10,0,False,2019-11-30T15:00:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1082,19819,276,1358
55,141,1,0,False,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1187,18654,34,1221
55,153,20,0,True,2019-12-08T16:30:00Z,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,47,-1476,17183,13,1489
55,164,7,0,False,2019-12-16T19:45:00Z,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-1330,15854,93,1423
55,173,15,0,True,2019-12-21T15:00:00Z,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-970,14799,63,1033
55,189,17,0,False,2019-12-26T12:30:00Z,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-552,14389,52,604
55,192,3,0,True,2019-12-28T12:30:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-366,14054,25,391
55,202,6,0,True,2020-01-01T12:30:00Z,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-507,13551,56,563
55,215,8,0,False,2020-01-11T15:00:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-392,13164,107,499
55,222,2,0,True,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,-85,13106,243,328
55,232,3,1,False,2020-01-21T19:30:00Z,3,1,24,30,0,0,0,1,0,0,0,0,0,0,0,4,4.8,2.1,0.0,0.7,46,-76,13055,168,244
55,250,19,1,False,2020-02-01T15:00:00Z,3,3,25,18,0,0,0,0,0,0,0,0,0,0,0,3,8.0,2.3,33.0,4.3,46,-74,13013,237,311
55,253,18,1,True,2020-02-08T17:30:00Z,1,1,26,90,0,0,0,1,0,0,0,1,0,0,0,4,12.6,26.8,24.0,6.3,46,216,13277,445,229
55,268,15,0,False,2020-02-22T15:00:00Z,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,46,69,13369,336,267
