first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Shkodran,Mustafi,1,Mustafi,52,-3,2,0.3,1,3,4,90,0,1,0,2,0,0,0,0,24
Héctor,Bellerín,2,Bellerín,54,-1,2,0.3,1,3,1,262,0,0,0,6,2,0,0,0,26
Sead,Kolasinac,3,Kolasinac,52,-3,2,0.6,1,3,27,928,0,2,1,17,2,0,0,1,196
Ainsley,Maitland-Niles,4,Maitland-Niles,46,-4,2,2.6,1,3,26,760,0,2,2,14,0,1,0,3,150
Sokratis,Papastathopoulos,5,Sokratis,49,-1,2,1.4,1,3,33,1350,1,0,2,23,5,0,0,2,224
Nacho,Monreal,6,Monreal,50,0,2,0.3,1,3,10,270,0,0,1,4,0,0,0,1,54
Laurent,Koscielny,7,Koscielny,50,0,2,0.1,1,3,0,0,0,0,0,0,0,0,0,0,0
Konstantinos,Mavropanos,8,Mavropanos,44,-1,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Carl,Jenkinson,9,Jenkinson,45,0,2,0.0,1,3,0,0,0,0,0,0,0,0,0,0,0
Rob,Holding,10,Holding,45,0,2,0.1,1,3,1,76,0,0,0,2,0,0,0,0,9
Pierre-Emerick,Aubameyang,11,Aubameyang,108,-2,4,18.7,1,3,105,1607,11,3,3,27,2,0,0,18,391
Alexandre,Lacazette,12,Lacazette,93,-2,4,1.7,1,3,48,673,5,2,0,12,2,0,0,6,164
Edward,Nketiah,13,Nketiah,43,-2,4,0.6,1,3,0,0,0,0,0,0,0,0,0,0,0
Bernd,Leno,14,Leno,50,0,1,5.4,1,3,62,1620,0,0,3,27,2,0,73,3,357
Mesut,Özil,15,Özil,72,-3,3,0.8,1,3,22,666,0,2,0,14,0,0,0,1,116
Henrikh,Mkhitaryan,16,Mkhitaryan,68,-2,3,0.8,1,3,4,110,0,0,1,0,1,0,0,0,3
Granit,Xhaka,18,Xhaka,51,-4,3,0.6,1,3,28,1094,0,1,3,18,4,0,0,0,160
Lucas,Torreira,19,Torreira,47,-3,3,1.2,1,3,29,803,1,0,2,14,1,0,0,0,144
Mohamed,Elneny,20,Elneny,43,-2,3,0.8,1,3,0,0,0,0,0,0,0,0,0,0,0
Matteo,Guendouzi,21,Guendouzi,45,0,3,7.2,1,3,37,1312,0,2,2,23,4,0,0,2,224
David,Luiz Moreira Marinho,106,David Luiz,57,-3,2,4.9,1,3,44,1350,2,0,2,23,3,0,0,6,246
Emiliano,Martínez,427,Martínez,43,-2,1,0.3,1,3,0,0,0,0,0,0,0,0,0,0,0
Calum,Chambers,467,Chambers,44,-1,2,1.2,1,3,38,1080,1,0,3,15,5,0,0,5,182
