element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
208,8,19,0,False,2019-08-10T11:30:00Z,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,80133,0,0
208,16,17,1,True,2019-08-17T16:30:00Z,2,2,2,90,0,0,0,2,0,0,0,0,0,0,0,13,17.0,11.1,55.0,8.3,54,-19889,71210,2051,21940
208,22,3,1,False,2019-08-25T13:00:00Z,1,3,3,90,0,0,0,1,0,0,0,1,0,0,0,6,17.0,2.4,40.0,5.9,54,-237,76034,8787,9024
208,37,4,6,True,2019-08-31T14:00:00Z,4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,25,21.4,0.9,2.0,2.4,54,4342,84072,13664,9322
208,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,90,0,0,0,3,0,0,0,0,0,0,0,11,17.2,3.6,56.0,7.7,54,58587,149026,72779,14192
208,57,18,15,True,2019-09-21T14:00:00Z,8,0,6,62,1,1,1,0,0,0,0,0,0,0,0,47,43.8,0.4,51.0,9.5,54,27382,179284,39479,12097
208,65,8,1,False,2019-09-28T16:30:00Z,1,3,7,90,0,0,0,1,0,0,0,1,0,0,0,12,19.2,11.1,2.0,3.2,55,284356,482526,301082,16726
208,75,20,1,True,2019-10-06T13:00:00Z,0,2,8,90,0,0,0,2,0,0,0,0,0,0,0,15,16.0,1.4,8.0,2.5,56,87662,578044,108813,21151
208,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-3504,572029,42402,45906
208,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-75464,495620,12164,87628
208,107,16,1,True,2019-11-02T15:00:00Z,2,1,11,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,54,-122298,375657,12498,134796
208,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-103311,271970,2230,105541
208,127,6,0,True,2019-11-23T17:30:00Z,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-61542,213547,2303,63845
208,136,13,0,False,2019-11-30T12:30:00Z,2,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-31805,183388,1852,33657
208,142,5,2,False,2019-12-03T20:15:00Z,1,4,15,90,0,0,0,1,0,0,0,0,0,0,0,13,16.0,0.3,2.0,1.8,51,-17131,167169,809,17940
208,155,12,7,True,2019-12-07T17:30:00Z,1,2,16,31,1,0,0,0,0,0,0,0,0,0,0,13,33.4,0.9,48.0,8.2,50,-8704,159106,1791,10495
208,161,1,8,False,2019-12-15T16:30:00Z,0,3,17,90,0,0,1,0,0,0,0,0,0,0,2,31,22.0,0.5,0.0,2.3,50,2234,163142,8928,6694
208,175,9,2,True,2019-12-21T17:30:00Z,3,1,18,90,0,0,0,1,0,0,0,0,0,0,0,13,14.8,0.9,7.0,2.3,50,15334,182815,19626,4292
208,190,20,0,False,2019-12-27T19:45:00Z,3,2,19,90,0,0,0,3,0,0,0,1,0,0,0,11,28.4,0.4,0.0,2.9,50,9459,191244,14549,5090
208,195,15,0,True,2019-12-29T18:00:00Z,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,5829,198137,12808,6979
208,205,8,0,True,2020-01-01T17:30:00Z,2,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-7929,190582,9559,17488
208,211,2,1,False,2020-01-12T16:30:00Z,1,6,22,27,0,0,0,1,0,0,0,0,0,0,0,6,7.2,0.6,0.0,0.8,50,-20542,170632,4300,24842
208,225,7,0,True,2020-01-18T15:00:00Z,2,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-9925,161531,3745,13670
208,236,15,9,False,2020-01-21T19:30:00Z,0,1,24,90,0,0,1,0,0,0,0,0,0,0,3,31,31.4,10.3,23.0,6.5,50,-11035,150316,1496,12531
208,248,17,1,False,2020-02-02T16:30:00Z,2,0,25,90,0,0,0,2,0,0,0,0,0,0,0,15,12.8,1.3,0.0,1.4,50,1108,153131,6263,5155
