element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
428,6,17,2,False,2019-08-10T16:30:00Z,3,1,1,73,0,0,0,1,0,0,0,0,0,0,0,2,5.0,1.1,17.0,2.3,60,0,59003,0,0
428,12,3,2,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,0,6,5.8,11.2,31.0,4.8,60,4529,70354,14202,9673
428,21,8,9,True,2019-08-23T19:00:00Z,2,0,3,90,1,0,1,0,0,0,0,0,0,0,3,28,38.8,23.0,37.0,9.9,60,-7448,64136,10518,17966
428,34,7,2,False,2019-08-31T14:00:00Z,1,0,4,84,0,0,0,1,0,0,0,0,0,0,0,8,9.0,2.5,43.0,5.5,60,57067,130782,79153,22086
428,41,19,2,True,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,-1,6.6,4.0,24.0,3.5,60,7501,139809,35877,28376
428,51,1,7,False,2019-09-22T15:30:00Z,3,2,6,90,1,0,0,3,0,0,0,0,0,0,1,29,36.4,1.1,42.0,8.0,60,-29167,109941,5158,34325
428,61,5,2,True,2019-09-28T14:00:00Z,2,2,7,87,0,0,0,2,0,0,0,0,0,0,0,2,0.0,12.2,4.0,1.4,60,13724,127692,29406,15682
428,77,14,14,False,2019-10-05T14:00:00Z,1,5,8,90,2,1,0,1,0,0,1,0,0,0,3,50,97.4,15.9,123.0,23.6,60,-5838,121676,9746,15584
428,81,4,2,True,2019-10-19T14:00:00Z,2,1,9,75,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.3,30.0,2.6,61,92738,223485,105782,13044
428,95,11,2,False,2019-10-26T11:30:00Z,3,0,10,70,0,0,0,3,0,0,0,0,0,0,0,4,0.0,4.3,24.0,2.7,61,-26753,192079,12616,39369
428,102,10,2,True,2019-11-02T15:00:00Z,1,2,11,85,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,3.8,10.0,0.7,61,-5623,189226,25308,30931
428,120,20,2,False,2019-11-10T14:00:00Z,2,1,12,90,0,0,0,2,0,0,0,0,0,0,0,7,11.0,1.7,20.0,3.3,60,-6602,183033,14127,20729
428,122,13,1,True,2019-11-25T20:00:00Z,2,0,13,90,0,0,1,0,0,0,0,1,0,0,0,-1,6.8,23.0,39.0,6.9,60,-853,184931,23277,24130
428,135,12,2,False,2019-12-01T16:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,5,12.4,1.1,25.0,3.9,59,-26409,157508,4227,30636
428,147,6,2,False,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,2,0,0,0,0,0,0,0,2,3.6,2.1,4.0,1.0,59,-13358,145271,3478,16836
428,151,9,1,True,2019-12-08T14:00:00Z,1,4,16,90,0,0,0,4,0,0,0,1,0,0,0,3,9.0,25.2,12.0,4.6,58,-14025,131651,3230,17255
428,168,15,2,False,2019-12-14T15:00:00Z,2,0,17,68,0,0,0,1,0,0,0,0,0,0,0,7,0.2,4.3,4.0,0.9,57,-12895,119161,4378,17273
428,171,16,2,True,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,3,0,0,0,0,0,0,0,1,0.0,3.7,52.0,5.3,57,2413,122658,11645,9232
428,181,14,1,True,2019-12-26T15:00:00Z,1,0,19,90,0,0,1,0,0,0,0,1,0,0,0,3,6.4,22.5,12.0,4.1,57,-2269,120841,6980,9249
428,199,18,2,False,2019-12-28T15:00:00Z,3,0,20,90,0,0,0,3,0,0,0,0,0,0,0,2,4.6,4.0,25.0,3.4,57,-8969,111797,1588,10557
428,203,5,6,False,2020-01-01T12:30:00Z,1,2,21,70,1,0,1,0,0,0,0,0,0,0,0,23,43.2,1.8,54.0,9.9,56,-10630,101550,1562,12192
428,211,11,0,True,2020-01-12T16:30:00Z,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,56,-19111,82377,519,19630
428,222,4,0,False,2020-01-18T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-9014,73525,104,9118
428,231,18,0,True,2020-01-21T19:30:00Z,2,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3253,70372,89,3342
428,241,3,0,False,2020-02-01T15:00:00Z,2,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-3482,66988,94,3576
428,252,17,0,True,2020-02-16T14:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-1637,65453,43,1680
